"POA_CODE_2016","POA_NUMBER_2016","POA_NAME_2016","AREA_ALBERS_SQKM"
"2197",2197,"2197",2.9286
"2198",2198,"2198",3.3233
"2199",2199,"2199",4.618
"2200",2200,"2200",14.1069
"2203",2203,"2203",2.0929
"2204",2204,"2204",5.7903
"2205",2205,"2205",4.2229
"2206",2206,"2206",5.9786
"2207",2207,"2207",7.2242
"2208",2208,"2208",4.459
"2209",2209,"2209",4.2499
"2210",2210,"2210",11.0967
"2211",2211,"2211",7.4064
"2212",2212,"2212",6.2455
"2213",2213,"2213",10.037
"2214",2214,"2214",5.3711
"2216",2216,"2216",5.5782
"2217",2217,"2217",6.2613
"2218",2218,"2218",2.6489
"2219",2219,"2219",3.7807
"2220",2220,"2220",5.1734
"2221",2221,"2221",5.3879
"2222",2222,"2222",2.5163
"2223",2223,"2223",7.253
"2224",2224,"2224",4.7012
"2225",2225,"2225",2.1022
"2226",2226,"2226",5.2222
"2227",2227,"2227",4.5993
"2228",2228,"2228",5.914
"2229",2229,"2229",10.8128
"2230",2230,"2230",9.1909
"2231",2231,"2231",19.1994
"2232",2232,"2232",14.4108
"2233",2233,"2233",179.9875
"2234",2234,"2234",39.7249
"2250",2250,"2250",690.9284
"2251",2251,"2251",50.8904
"2256",2256,"2256",72.799
"2257",2257,"2257",22.411
"2258",2258,"2258",121.2568
"2259",2259,"2259",524.7348
"2260",2260,"2260",23.2489
"2261",2261,"2261",51.4591
"2262",2262,"2262",33.7953
"2263",2263,"2263",22.3942
"2264",2264,"2264",115.1942
"2265",2265,"2265",136.0019
"2267",2267,"2267",3.6556
"2278",2278,"2278",44.0603
"2280",2280,"2280",27.9287
"2281",2281,"2281",30.9079
"2282",2282,"2282",10.5223
"2283",2283,"2283",60.2462
"2284",2284,"2284",24.2726
"2285",2285,"2285",32.4611
"2286",2286,"2286",25.2353
"2287",2287,"2287",38.0741
"2289",2289,"2289",11.4331
"2290",2290,"2290",36.4023
"2291",2291,"2291",7.193
"2292",2292,"2292",2.8938
"2293",2293,"2293",1.3228
"2294",2294,"2294",2.0392
"2295",2295,"2295",11.9478
"2296",2296,"2296",0.7062
"2297",2297,"2297",0.801
"2298",2298,"2298",4.0042
"2299",2299,"2299",5.2846
"2300",2300,"2300",3.4401
"2302",2302,"2302",0.8283
"2303",2303,"2303",3.0004
"2304",2304,"2304",39.5055
"2305",2305,"2305",8.7987
"2306",2306,"2306",1.777
"2307",2307,"2307",6.5582
"2308",2308,"2308",1.7907
"2311",2311,"2311",783.5898
"2312",2312,"2312",181.2071
"2314",2314,"2314",8.0114
"2315",2315,"2315",32.3446
"2316",2316,"2316",73.9271
"2317",2317,"2317",9.734
"2318",2318,"2318",251.1885
"2319",2319,"2319",29.6406
"2320",2320,"2320",403.8741
"2321",2321,"2321",359.9923
"2322",2322,"2322",166.7018
"2323",2323,"2323",209.451
"2324",2324,"2324",627.4293
"2325",2325,"2325",1434.4561
"2326",2326,"2326",82.5445
"2327",2327,"2327",15.0694
"2328",2328,"2328",1682.1246
"2329",2329,"2329",3056.2045
"2330",2330,"2330",4902.2093
"2331",2331,"2331",137.2978
